t,PvAvailP
447,126
448,127
449,126
450,125
451,124
452,132
453,128
454,131
455,130
456,132
457,128
458,127
459,126
460,127
461,131
462,125
463,131
464,125
465,125
466,129
467,125
468,130
469,125
470,127
471,130
472,126
473,125
474,131
475,127
476,124
477,125
478,125
479,130
480,125
481,130
482,130
483,125
484,131
485,129
486,129
487,132
488,125
489,129
490,130
491,129
492,126
493,130
494,132
495,125
496,124
497,131
498,130
499,129
500,127
501,131
502,130
503,131
504,130
505,129
506,130
507,129
508,129
509,129
510,125
511,128
512,130
513,126
514,125
515,127
516,126
517,129
518,125
519,125
520,128
521,126
522,128
523,128
524,127
525,130
526,128
527,131
528,132
529,126
530,128
531,132
532,127
533,126
534,131
535,126
536,126
537,125
538,127
539,127
540,125
541,127
542,130
543,129
544,127
545,131
546,126
547,127
548,129
549,132
550,130
551,127
552,131
553,125
554,126
555,128
556,126
557,127
558,126
559,126
560,130
561,125
562,128
563,130
564,127
565,127
566,131
567,132
568,128
569,125
570,127
571,127
572,126
573,130
574,127
575,127
576,127
577,127
578,126
579,128
580,129
581,125
582,130
583,130
584,125
585,125
586,129
587,126
588,129
589,127
590,130
591,124
592,129
593,126
594,128
595,132
596,131
597,126
598,126
599,128
600,128
601,127
602,130
603,130
604,126
605,128
606,129
607,127
608,130
609,131
610,128
611,132
612,131
613,131
614,129
615,128
616,128
617,128
618,132
619,127
620,126
621,132
622,125
623,128
624,129
625,129
626,127
627,126
628,132
629,129
630,129
631,126
632,124
633,129
634,127
635,128
636,128
637,129
638,132
639,125
640,128
641,127
642,127
643,129
644,131
645,126
646,131
647,128
648,130
649,128
650,130
651,131
652,129
653,125
654,127
655,126
656,125
657,130
658,130
659,124
660,130
661,130
662,127
663,125
664,128
665,130
666,128
667,127
668,128
669,126
670,128
671,131
672,126
673,130
674,129
675,130
676,128
677,125
678,126
679,129
680,131
681,127
682,127
683,124
684,132
685,131
686,130
687,128
688,132
689,127
690,128
691,126
692,125
693,129
694,131
695,131
696,127
697,125
698,129
699,129
700,125
701,128
702,128
703,131
704,126
705,126
706,125
707,128
708,129
709,132
710,128
711,125
712,129
713,126
714,126
715,125
716,125
717,126
718,127
719,129
720,127
721,127
722,131
723,131
724,130
725,131
726,125
727,125
728,125
729,129
730,131
731,131
732,130
733,129
734,125
735,126
736,130
737,129
738,125
739,126
740,132
741,132
742,127
743,128
744,128
745,127
746,128
747,132
748,125
749,125
750,132
751,130
752,128
753,130
754,129
755,131
756,128
757,131
758,132
759,129
760,131
761,132
762,126
763,128
764,125
765,125
766,129
767,126
768,127
769,129
770,129
771,128
772,131
773,130
774,129
775,125
776,127
777,126
778,131
779,125
780,131
781,130
782,126
783,127
784,125
785,126
786,129
787,124
788,131
789,128
790,125
791,129
792,125
793,129
794,127
795,131
796,132
797,130
798,130
799,126
800,126
801,126
802,127
803,129
804,129
805,129
806,130
807,131
808,132
809,127
810,129
811,131
812,130
813,129
814,132
815,126
816,126
817,128
818,126
819,130
820,126
821,131
822,127
823,125
824,129
825,125
826,125
827,130
828,127
829,131
830,127
831,131
832,131
833,128
834,128
835,131
836,129
837,126
838,126
839,128
840,129
841,127
842,127
843,126
844,130
845,126
846,129
847,126
848,126
849,130
850,132
851,125
852,125
853,125
854,131
855,128
856,127
857,127
858,127
859,128
860,129
861,130
862,129
863,129
864,129
865,125
866,128
867,125
868,127
869,125
870,124
871,125
872,128
873,124
874,131
875,130
876,127
877,127
878,131
879,127
880,126
881,132
882,129
883,131
884,130
885,128
886,126
887,130
888,126
889,127
890,127
891,130
892,126
893,129
894,127
895,125
896,124
897,124
898,129
899,128
900,128
901,128
902,124
903,130
904,127
905,124
906,127
907,128
908,130
909,126
910,131
911,132
912,127
913,129
914,131
915,125
916,126
917,129
918,128
919,126
920,132
921,127
922,127
923,127
924,128
925,125
926,128
927,132
928,128
929,125
930,127
931,130
932,129
933,132
934,131
935,129
936,127
937,130
938,127
939,127
940,127
941,131
942,125
943,125
944,129
945,127
946,132
947,125
948,132
949,128
950,132
951,125
952,126
953,125
954,125
955,128
956,125
957,131
958,131
959,127
960,131
961,126
962,125
963,130
964,127
965,126
966,129
967,131
968,125
969,127
970,125
971,130
972,130
973,131
974,125
975,126
976,126
977,130
978,131
979,125
980,129
981,127
982,132
983,130
984,125
985,129
986,128
987,125
988,125
989,128
990,125
991,127
992,127
993,129
994,125
995,125
996,126
997,125
998,131
999,125
1000,130
1001,127
1002,128
1003,127
1004,126
1005,127
1006,127
1007,126
1008,126
1009,132
1010,129
1011,127
1012,131
1013,125
1014,128
1015,129
1016,126
1017,126
1018,127
1019,129
1020,129
1021,126
1022,125
1023,132
1024,127
1025,128
1026,126
1027,131
1028,127
1029,132
1030,124
1031,131
1032,128
1033,125
1034,128
1035,126
1036,125
1037,127
1038,129
1039,128
1040,127
1041,124
1042,131
1043,129
1044,129
1045,126
1046,128
1047,126
1048,130
1049,132
1050,131
1051,131
1052,124
1053,130
1054,131
1055,127
1056,129
1057,125
1058,128
1059,131
1060,128
1061,127
1062,128
1063,128
1064,131
1065,127
1066,128
1067,127
1068,125
1069,128
1070,130
1071,125
1072,126
1073,129
1074,131
1075,125
1076,129
1077,130
1078,125
1079,132
1080,128
1081,125
1082,129
1083,128
1084,131
1085,126
1086,127
1087,124
1088,126
1089,130
1090,129
1091,126
1092,128
1093,132
1094,131
1095,132
1096,125
1097,132
1098,131
1099,125
1100,127
1101,130
1102,131
1103,127
1104,129
1105,126
1106,130
1107,131
1108,125
1109,126
1110,131
1111,124
1112,128
1113,126
1114,126
1115,127
1116,126
1117,129
1118,129
1119,130
1120,125
1121,125
1122,124
1123,128
1124,126
1125,131
1126,129
1127,130
1128,129
1129,132
1130,129
1131,126
1132,126
1133,130
1134,132
1135,132
1136,132
1137,132
1138,131
1139,129
1140,125
1141,129
1142,131
1143,126
1144,131
1145,126
1146,124
1147,132
1148,131
1149,128
1150,127
1151,129
1152,130
1153,130
1154,131
1155,127
1156,128
1157,131
1158,127
1159,126
1160,132
1161,131
1162,128
1163,131
1164,132
1165,125
1166,131
1167,127
1168,126
1169,127
1170,127
1171,129
1172,132
1173,128
1174,127
1175,131
1176,129
1177,127
1178,125
1179,127
1180,125
1181,126
1182,124
1183,130
1184,130
1185,130
1186,129
1187,130
1188,126
1189,127
1190,129
1191,128
1192,130
1193,129
1194,129
1195,132
1196,129
1197,127
1198,125
1199,132
1200,130
1201,130
1202,127
1203,127
1204,130
1205,129
1206,128
1207,126
1208,132
1209,127
1210,127
1211,130
1212,127
1213,127
1214,128
1215,131
1216,131
1217,126
1218,126
1219,130
1220,126
1221,132
1222,131
1223,125
1224,132
1225,129
1226,127
1227,126
1228,129
1229,128
1230,124
1231,130
1232,127
1233,131
1234,131
1235,125
1236,126
1237,128
1238,126
1239,129
1240,127
1241,124
1242,125
1243,131
1244,127
1245,129
1246,129
1247,130
1248,126
1249,129
1250,131
1251,129
1252,131
1253,125
1254,131
1255,127
1256,129
1257,131
1258,125
1259,126
1260,127
1261,129
1262,126
1263,125
1264,127
1265,129
1266,131
1267,126
1268,129
1269,126
1270,128
1271,129
1272,129
1273,130
1274,126
1275,127
1276,125
1277,127
1278,125
1279,124
1280,132
1281,132
1282,129
1283,132
1284,131
1285,126
1286,126
1287,128
1288,129
1289,131
1290,125
1291,129
1292,128
1293,124
1294,130
1295,128
1296,125
1297,127
1298,131
1299,124
1300,129
1301,130
1302,127
1303,126
1304,128
1305,126
1306,127
1307,124
1308,128
1309,131
1310,129
1311,126
1312,129
1313,127
1314,129
1315,129
1316,132
1317,131
1318,126
1319,126
1320,128
1321,126
1322,125
1323,130
1324,127
1325,126
1326,125
1327,129
1328,129
1329,131
1330,131
1331,125
1332,128
1333,128
1334,130
1335,131
1336,128
1337,127
1338,129
1339,125
1340,129
1341,129
1342,128
1343,125
1344,131
1345,126
1346,127
1347,125
1348,127
1349,129
1350,130
1351,128
1352,125
1353,130
1354,132
1355,130
1356,126
1357,130
1358,130
1359,128
1360,126
1361,124
1362,131
1363,128
1364,129
1365,125
1366,131
1367,128
1368,124
1369,130
1370,130
1371,128
1372,129
1373,130
1374,131
1375,126
1376,129
1377,127
1378,131
1379,129
1380,129
1381,127
1382,126
1383,128
1384,128
1385,125
1386,128
1387,127
1388,129
1389,128
1390,125
1391,130
1392,128
1393,125
1394,127
1395,131
1396,126
1397,130
1398,126
1399,130
1400,131
1401,128
1402,127
1403,128
1404,130
1405,131
1406,124
1407,125
1408,126
1409,125
1410,128
1411,129
1412,130
1413,130
1414,128
1415,126
1416,124
1417,124
1418,126
1419,130
1420,127
1421,124
1422,127
1423,129
1424,127
1425,126
1426,130
1427,130
1428,127
1429,125
1430,131
1431,126
1432,125
1433,126
1434,126
1435,132
1436,128
1437,130
1438,126
1439,125
1440,132
1441,127
1442,130
1443,125
1444,129
1445,131
1446,125
1447,130
1448,128
1449,128
1450,126
1451,126
1452,127
1453,128
1454,124
1455,131
1456,130
1457,130
1458,125
1459,125
1460,128
1461,129
1462,127
1463,129
1464,128
1465,125
1466,131
1467,130
1468,131
1469,129
1470,131
1471,128
1472,127
1473,132
1474,130
1475,128
1476,130
1477,127
1478,126
1479,126
1480,129
1481,129
1482,125
1483,128
1484,128
1485,128
1486,124
1487,127
1488,130
1489,128
1490,126
1491,132
1492,131
1493,131
1494,128
1495,124
1496,130
1497,124
1498,128
1499,129
1500,130
1501,128
1502,128
1503,131
1504,131
1505,127
1506,127
1507,130
1508,127
1509,127
1510,124
1511,128
1512,127
1513,127
1514,129
1515,130
1516,126
1517,129
1518,126
1519,124
1520,131
1521,124
1522,130
1523,130
1524,130
1525,131
1526,128
1527,124
1528,127
1529,130
1530,128
1531,130
1532,126
1533,130
1534,128
1535,130
1536,124
1537,130
1538,131
1539,125
1540,126
1541,125
1542,131
1543,131
1544,132
1545,130
1546,125
1547,124
1548,125
1549,124
1550,125
1551,128
1552,130
1553,132
1554,128
1555,124
1556,130
1557,125
1558,127
1559,126
1560,130
1561,131
1562,131
1563,124
1564,131
1565,126
1566,125
1567,128
1568,130
1569,125
1570,126
1571,127
1572,126
1573,128
1574,127
1575,130
1576,126
1577,131
1578,130
1579,129
1580,128
1581,126
1582,126
1583,131
1584,132
1585,124
1586,125
1587,127
1588,125
1589,131
1590,126
1591,128
1592,125
1593,125
1594,124
1595,129
1596,125
1597,126
1598,125
1599,129
1600,126
1601,129
1602,127
1603,128
1604,129
1605,125
1606,125
1607,127
1608,130
1609,129
1610,124
1611,125
1612,131
1613,126
1614,131
1615,129
1616,126
1617,127
1618,126
1619,128
1620,130
1621,125
1622,126
1623,130
1624,126
1625,131
1626,130
1627,130
1628,126
1629,129
1630,130
1631,128
1632,126
1633,131
1634,128
1635,125
1636,129
1637,127
1638,132
1639,125
1640,128
1641,124
1642,126
1643,129
1644,129
1645,127
1646,124
1647,130
1648,127
1649,127
1650,127
1651,129
1652,128
1653,128
1654,127
1655,127
1656,129
1657,127
1658,127
1659,127
1660,131
1661,128
1662,127
1663,125
1664,124
1665,130
1666,127
1667,129
1668,126
1669,131
1670,128
1671,125
1672,130
1673,125
1674,126
1675,125
1676,129
1677,129
1678,125
1679,127
1680,131
1681,127
1682,128
1683,128
1684,125
1685,126
1686,128
1687,132
1688,126
1689,130
1690,128
1691,131
1692,126
1693,127
1694,130
1695,126
1696,128
1697,129
1698,125
1699,126
1700,131
1701,125
1702,132
1703,130
1704,129
1705,131
1706,130
1707,124
1708,126
1709,130
1710,124
1711,126
1712,126
1713,131
1714,129
1715,131
1716,124
1717,127
1718,124
1719,125
1720,129
1721,126
1722,124
1723,128
1724,128
1725,130
1726,126
1727,125
1728,128
1729,132
1730,130
1731,125
1732,127
1733,125
1734,129
1735,126
1736,129
1737,129
1738,124
1739,131
1740,131
1741,128
1742,127
1743,128
1744,129
1745,130
1746,126
1747,131
1748,126
1749,124
1750,125
1751,125
1752,127
1753,131
1754,127
1755,125
1756,131
1757,126
1758,125
1759,129
1760,129
1761,127
1762,127
1763,125
1764,131
1765,127
1766,126
1767,128
1768,131
1769,125
1770,127
1771,126
1772,128
1773,129
1774,126
1775,129
1776,127
1777,129
1778,131
1779,128
1780,126
1781,131
1782,125
1783,129
1784,130
1785,127
1786,126
1787,126
1788,126
1789,125
1790,129
1791,125
1792,131
1793,127
1794,126
1795,126
1796,126
1797,124
1798,131
1799,127
1800,126
1801,128
1802,125
1803,125
1804,126
1805,125
1806,126
1807,126
1808,129
1809,127
1810,129
1811,125
1812,131
1813,130
1814,131
1815,127
1816,127
1817,130
1818,129
1819,124
1820,127
1821,130
1822,126
1823,129
1824,125
1825,130
1826,125
1827,130
1828,130
1829,130
1830,131
1831,127
1832,130
1833,124
1834,126
1835,127
1836,130
1837,131
1838,127
1839,131
1840,129
1841,129
1842,126
1843,131
1844,125
1845,129
1846,130
1847,127
1848,130
1849,124
1850,127
1851,129
1852,127
1853,124
1854,129
1855,125
1856,126
1857,130
1858,128
1859,125
1860,124
1861,125
1862,130
1863,128
1864,130
1865,127
1866,126
1867,126
1868,127
1869,124
1870,128
1871,128
1872,130
1873,128
1874,125
1875,127
1876,131
1877,131
1878,127
1879,128
1880,126
1881,130
1882,129
1883,130
1884,131
1885,130
1886,128
1887,126
1888,131
1889,128
1890,129
1891,124
1892,130
1893,127
1894,128
1895,126
1896,127
1897,128
1898,131
1899,129
1900,129
1901,127
1902,126
1903,131
1904,127
1905,128
1906,126
1907,131
1908,127
1909,125
1910,125
1911,130
1912,130
1913,129
1914,126
1915,126
1916,130
1917,126
1918,125
1919,129
1920,124
1921,129
1922,129
1923,126
1924,127
1925,125
1926,129
1927,126
1928,124
1929,126
1930,129
1931,130
1932,131
1933,125
1934,125
1935,127
1936,129
1937,129
1938,130
1939,129
1940,129
1941,129
1942,131
1943,124
1944,129
1945,125
1946,130
1947,128
1948,126
1949,126
1950,129
1951,130
1952,128
1953,129
1954,126
1955,128
1956,128
1957,128
1958,131
1959,129
1960,128
1961,128
1962,128
1963,126
1964,128
1965,130
1966,131
1967,127
1968,124
1969,128
1970,125
1971,130
1972,126
1973,125
1974,125
1975,124
1976,129
1977,130
1978,130
1979,126
1980,124
1981,131
1982,124
1983,127
1984,128
1985,128
1986,126
1987,124
1988,128
1989,128
1990,126
1991,124
1992,128
1993,128
1994,128
1995,124
1996,126
1997,125
1998,125
1999,125
2000,129
2001,126
2002,125
2003,124
2004,129
2005,124
2006,129
2007,129
2008,124
2009,131
2010,125
2011,128
2012,128
2013,129
2014,126
2015,130
2016,129
2017,129
2018,124
2019,126
2020,128
2021,127
2022,127
2023,126
2024,129
2025,126
2026,124
2027,131
2028,130
2029,127
2030,125
2031,130
2032,129
2033,130
2034,129
2035,128
2036,125
2037,127
2038,131
2039,124
2040,126
2041,130
2042,125
2043,125
2044,128
2045,128
2046,125
2047,126
2048,125
2049,128
2050,130
2051,125
2052,125
2053,125
2054,129
2055,127
2056,125
2057,126
2058,127
2059,124
2060,125
2061,128
2062,131
2063,128
2064,130
2065,129
2066,129
2067,124
2068,129
2069,131
2070,129
2071,125
2072,125
2073,131
2074,130
2075,125
2076,130
2077,129
2078,126
2079,124
2080,131
2081,131
2082,130
2083,131
2084,126
2085,125
2086,126
2087,125
2088,125
2089,128
2090,130
2091,129
2092,125
2093,130
2094,126
2095,130
2096,129
2097,131
2098,124
2099,130
2100,125
2101,127
2102,131
2103,130
2104,127
2105,125
2106,130
2107,131
2108,129
2109,124
2110,124
2111,129
2112,130
2113,130
2114,125
2115,126
2116,124
2117,124
2118,131
2119,125
2120,127
2121,126
2122,129
2123,131
2124,124
2125,126
2126,125
2127,126
2128,126
2129,128
2130,124
2131,128
2132,129
2133,125
2134,130
2135,125
2136,126
2137,126
2138,125
2139,125
2140,128
2141,130
2142,124
2143,129
2144,128
2145,130
2146,125
2147,127
2148,126
2149,129
2150,128
2151,125
2152,125
2153,130
2154,126
2155,130
2156,130
2157,125
2158,127
2159,125
2160,131
2161,130
2162,125
2163,124
2164,124
2165,124
2166,126
2167,127
2168,127
2169,124
2170,128
2171,127
2172,126
2173,131
2174,131
2175,126
2176,130
2177,129
2178,127
2179,125
2180,131
2181,128
2182,125
2183,124
2184,127
2185,131
2186,125
2187,125
2188,125
2189,124
2190,124
2191,126
2192,127
2193,126
2194,125
2195,126
2196,128
2197,126
2198,124
2199,124
2200,129
2201,125
2202,125
2203,126
2204,125
2205,125
2206,129
2207,129
2208,127
2209,129
2210,127
2211,131
2212,130
2213,129
2214,126
2215,128
2216,124
2217,127
2218,130
2219,129
2220,127
2221,124
2222,126
2223,124
2224,128
2225,127
2226,128
2227,127
2228,128
2229,130
2230,129
2231,131
2232,127
2233,126
2234,129
2235,130
2236,129
2237,127
2238,125
2239,124
2240,130
2241,126
2242,129
2243,131
2244,125
2245,128
2246,130
2247,129
2248,128
2249,129
2250,129
2251,125
2252,131
2253,124
2254,126
2255,126
2256,126
2257,131
2258,130
2259,128
2260,125
2261,128
2262,124
2263,126
2264,127
2265,128
2266,124
2267,127
2268,131
2269,129
2270,127
2271,129
2272,125
2273,126
2274,124
2275,130
2276,126
2277,124
2278,126
2279,128
2280,128
2281,124
2282,128
2283,130
2284,125
2285,128
2286,129
2287,128
2288,129
2289,127
2290,124
2291,128
2292,124
2293,128
2294,124
2295,126
2296,124
2297,127
2298,124
2299,126
2300,130
2301,130
2302,124
2303,126
2304,130
2305,125
2306,126
2307,131
2308,128
2309,128
2310,129
2311,131
2312,129
2313,127
2314,127
2315,129
2316,126
2317,129
2318,127
2319,127
2320,127
2321,128
2322,128
2323,130
2324,131
2325,126
2326,130
2327,128
2328,129
2329,131
2330,129
2331,128
2332,126
2333,126
2334,131
2335,127
2336,130
2337,129
2338,128
2339,128
2340,130
2341,130
2342,127
2343,131
2344,131
2345,129
2346,124
2347,127
2348,129
2349,128
2350,127
2351,130
2352,130
2353,129
2354,129
2355,124
2356,126
2357,127
2358,128
2359,124
2360,129
2361,125
2362,124
2363,126
2364,131
2365,128
2366,130
2367,130
2368,124
2369,126
2370,127
2371,124
2372,131
2373,129
2374,125
2375,126
2376,130
2377,130
2378,124
2379,131
2380,131
2381,127
2382,129
2383,129
2384,125
2385,126
2386,126
2387,131
2388,128
2389,128
2390,129
2391,125
2392,129
2393,126
2394,124
2395,131
2396,130
2397,130
2398,124
2399,130
2400,124
2401,131
2402,129
2403,130
2404,131
2405,126
2406,130
2407,131
2408,130
2409,130
2410,127
2411,127
2412,125
2413,127
2414,127
2415,127
2416,127
2417,128
2418,129
2419,124
2420,125
2421,131
2422,124
2423,131
2424,124
2425,127
2426,124
2427,126
2428,131
2429,130
2430,126
2431,130
2432,127
2433,129
2434,129
2435,126
2436,129
2437,128
2438,131
2439,131
2440,128
2441,128
2442,131
2443,124
2444,131
2445,126
2446,124
2447,126
2448,125
2449,125
2450,126
2451,124
2452,128
2453,130
2454,125
2455,125
2456,126
2457,127
2458,130
2459,127
2460,126
2461,125
2462,129
2463,126
2464,125
2465,127
2466,131
2467,125
2468,130
2469,126
2470,129
2471,128
2472,124
2473,123
2474,123
2475,125
2476,127
2477,128
2478,124
2479,123
2480,131
2481,126
2482,128
2483,124
2484,124
2485,130
2486,129
2487,123
2488,124
2489,129
2490,126
2491,125
2492,130
2493,124
2494,124
2495,127
2496,130
2497,125
2498,131
2499,128
2500,127
2501,131
2502,128
2503,128
2504,130
2505,124
2506,125
2507,131
2508,125
2509,127
2510,129
2511,131
2512,126
2513,129
2514,127
2515,125
2516,129
2517,129
2518,130
2519,127
2520,124
2521,129
2522,126
2523,131
2524,131
2525,130
2526,126
2527,124
2528,128
2529,127
2530,127
2531,124
2532,128
2533,129
2534,128
2535,126
2536,130
2537,128
2538,129
2539,129
2540,127
2541,130
2542,127
2543,128
2544,129
2545,126
2546,128
2547,125
2548,125
2549,128
2550,127
2551,126
2552,126
2553,129
2554,124
2555,124
2556,130
2557,131
2558,130
2559,130
2560,129
2561,125
2562,130
2563,129
2564,129
2565,124
2566,127
2567,124
2568,124
2569,124
2570,123
2571,128
2572,124
2573,129
2574,126
2575,131
2576,130
2577,124
2578,126
2579,125
2580,126
2581,129
2582,123
2583,124
2584,127
2585,124
2586,127
2587,129
2588,130
2589,124
2590,126
2591,128
2592,124
2593,129
2594,130
2595,127
2596,131
2597,126
2598,127
2599,131
2600,129
2601,128
2602,129
2603,125
2604,123
2605,130
2606,125
2607,125
2608,130
2609,125
2610,126
2611,126
2612,129
2613,130
2614,126
2615,125
2616,129
2617,124
2618,125
2619,127
2620,129
2621,123
2622,124
2623,123
2624,128
2625,124
2626,129
2627,124
2628,130
2629,129
2630,129
2631,124
2632,126
2633,130
2634,130
2635,130
2636,124
2637,130
2638,126
2639,125
2640,129
2641,124
2642,126
2643,131
2644,128
2645,129
2646,124
2647,131
2648,125
2649,126
2650,125
2651,129
2652,130
2653,129
2654,131
2655,128
2656,126
2657,126
2658,125
2659,125
2660,127
2661,125
2662,128
2663,126
2664,129
2665,125
2666,125
2667,130
2668,126
2669,123
2670,125
2671,123
2672,124
2673,130
2674,128
2675,131
2676,130
2677,129
2678,129
2679,130
2680,126
2681,130
2682,124
2683,130
2684,129
2685,126
2686,128
2687,128
2688,127
2689,127
2690,130
2691,124
2692,130
2693,131
2694,127
2695,129
2696,126
2697,126
2698,124
2699,130
2700,127
2701,125
2702,131
2703,126
2704,130
2705,124
2706,125
2707,129
2708,129
2709,127
2710,125
2711,128
2712,130
2713,127
2714,131
2715,130
2716,131
2717,129
2718,129
2719,127
2720,125
2721,125
2722,130
2723,127
2724,127
2725,127
2726,127
2727,125
2728,125
2729,127
2730,128
2731,130
2732,124
2733,130
2734,126
2735,127
2736,130
2737,131
2738,127
2739,124
2740,130
2741,128
2742,128
2743,129
2744,127
2745,123
2746,125
2747,129
2748,124
2749,127
2750,130
2751,128
2752,131
2753,131
2754,127
2755,124
2756,130
2757,123
2758,127
2759,129
2760,130
2761,130
2762,125
2763,124
2764,127
2765,128
2766,123
2767,131
2768,130
2769,126
2770,123
2771,126
2772,126
2773,127
2774,126
2775,130
2776,124
2777,126
2778,126
2779,125
2780,129
2781,123
2782,127
2783,129
2784,124
2785,124
2786,129
2787,128
2788,124
2789,127
2790,129
2791,127
2792,129
2793,128
2794,129
2795,124
2796,126
2797,130
2798,128
2799,123
2800,127
2801,127
2802,126
2803,130
2804,124
2805,127
2806,124
2807,128
2808,124
2809,125
2810,126
2811,129
2812,124
2813,124
2814,129
2815,130
2816,129
2817,128
2818,128
2819,124
2820,125
2821,127
2822,127
2823,128
2824,129
2825,124
2826,127
2827,123
2828,130
2829,127
2830,125
2831,129
2832,130
2833,126
2834,128
2835,129
2836,130
2837,123
2838,124
2839,125
2840,124
2841,124
2842,129
2843,130
2844,129
2845,127
2846,128
2847,128
2848,130
2849,123
2850,130
2851,130
2852,125
2853,130
2854,125
2855,128
2856,129
2857,123
2858,124
2859,129
2860,124
2861,123
2862,126
2863,126
2864,126
2865,124
2866,129
2867,128
2868,127
2869,130
2870,130
2871,127
2872,125
2873,129
2874,126
2875,129
2876,129
2877,126
2878,124
2879,129
2880,129
2881,126
2882,129
2883,130
2884,127
2885,123
2886,128
2887,129
2888,127
2889,126
2890,126
2891,125
2892,125
2893,128
2894,127
2895,130
2896,130
2897,127
2898,128
2899,124
2900,127
2901,125
2902,124
2903,130
2904,125
2905,125
2906,126
2907,127
2908,126
2909,124
2910,129
2911,127
2912,131
2913,129
2914,126
2915,130
2916,126
2917,129
2918,125
2919,128
2920,127
2921,125
2922,126
2923,123
2924,128
2925,124
2926,124
2927,125
2928,130
2929,127
2930,127
2931,127
2932,127
2933,124
2934,124
2935,129
2936,130
2937,130
2938,128
2939,125
2940,127
2941,127
2942,125
2943,130
2944,128
2945,129
2946,124
2947,125
2948,129
2949,128
2950,127
2951,125
2952,129
2953,125
2954,125
2955,124
2956,128
2957,128
2958,130
2959,128
2960,129
2961,125
2962,128
2963,126
2964,124
2965,123
2966,124
2967,128
2968,128
2969,131
2970,126
2971,124
2972,130
2973,124
2974,126
2975,131
2976,125
2977,126
2978,130
2979,129
2980,130
2981,131
2982,125
2983,126
2984,128
2985,128
2986,128
2987,125
2988,123
2989,131
2990,130
2991,124
2992,127
2993,124
2994,128
2995,130
